,Object ID,Title,Post Type,Author,Created At,URL,Points,Number of Comments
2295632,16053511,Poll: deep learning vs. cryptocurrencies for your next hobby project?,poll,naveen99,02/01/2018 17:37,,1,1
2300957,16107558,Poll: do you read HN from mobile or desktop?,poll,adityar,09/01/2018 16:55,,1,2
2301118,16109036,Poll: your cpu % increase from meltdown patch,poll,mrep,09/01/2018 19:30,,4,0
2304535,16142696,Poll: Are you paying taxes on cryptocoin taxes this year?,poll,will_brown,14/01/2018 03:36,,4,2
2313850,16233769,Poll: How do you commute?,poll,andars,25/01/2018 19:29,,1,3
2347954,16557871,Poll: Best group group chat application,poll,blocked_again,10/03/2018 09:41,,3,2
2348017,16558310,Poll: Did you know HN supports poll submissions?,poll,akvadrako,10/03/2018 12:57,,3,0
2361560,16689431,"Poll: For your job, would you rather have?",poll,aleyan,27/03/2018 15:29,,1,1
2372973,16809398,Poll: What is your age?,poll,smoyer,11/04/2018 09:33,,4,0
2374562,16825343,Poll: How many views did your YC founder(s) video get?,poll,adtac,12/04/2018 22:08,,2,0
2401175,17086055,"Poll: New'ish startups, what top-level domain do you use?",poll,plessthanpt05,16/05/2018 20:15,,1,3
2422210,17305073,Poll: Would you like to join a Facebook alternative?,poll,startupflix,13/06/2018 17:14,,2,1
2424799,17331696,"Poll: Developers, which JavaScript framework you're using in 2018?",poll,startupflix,17/06/2018 10:10,,3,0
2447822,17558732,Poll: Would you be willing to sign a petition ending open-plan offices?,poll,mlthoughts2018,18/07/2018 14:31,,2,5
2452335,17603646,"Poll: Friends of Apple employees, what laptop do they use?",poll,reimertz,24/07/2018 18:19,,2,2
2470251,17778691,Poll: How do you pronounce â€œtupleâ€?,poll,minimaxir,16/08/2018 21:49,,33,31
2471932,17795174,Poll: How did you find your current job?,poll,lukeqsee,19/08/2018 17:20,,2,1
2480868,17880159,Poll: Do you currently have a BS job?,poll,perfunctory,30/08/2018 19:55,,7,4
2485062,17922651,Poll: How old is your current smartphone?,poll,craftsman,05/09/2018 23:16,,10,14
2489647,17966826,Poll: Did you know that HN explicitly supports polls?,poll,netgusto,12/09/2018 09:29,,3,4
2505019,18125069,Poll: the future of voting is digital or paper?,poll,dev_dull,02/10/2018 19:48,,2,1
2506316,18138894,Poll: What is your primary operating system?,poll,tomglynch,04/10/2018 11:27,,6,15
2508070,18156918,Poll: Would you prefer no copyright to current copyright laws?,poll,networked,06/10/2018 19:51,,40,67
2508347,18160819,Poll: Are you on-course to achieve business targets youâ€™ve set for 2018,poll,anoncow,07/10/2018 14:51,,3,0
2568389,18762329,Poll: Which of these books would recommend to a First-Time founder?,poll,febin,26/12/2018 14:39,,4,1
2573847,18821898,Poll: What are you doing with istio in 2019?,poll,knoxa2511,04/01/2019 04:09,,1,0
2619810,19272784,Poll: Is â€œ-3â€ a Whole Number?,poll,ColinWright,28/02/2019 16:58,,2,3
2647739,19563478,Poll: Bathroom amenities for your Airbnb rental?,poll,amerf1,03/04/2019 14:15,,1,3
2667823,19766565,"Poll: Would you like a separate page for â€œHN Pollsâ€, just like â€œJobsâ€?",poll,plibither8,27/04/2019 17:23,,4,1
2680321,19897458,Poll: Did you see the alternative parse of the title?,poll,ColinWright,13/05/2019 09:30,,2,0
2684847,19947594,Poll: Which search engine do you use most regularly?,poll,akvadrako,18/05/2019 14:34,,3,2
2295036,16048013,Show HN: Fix All Conflicts â€“ command line app for fixing merge conflicts,show_hn,mkchoi212,01/01/2018 20:59,https://github.com/mkchoi212/fac,10,1
2295041,16048048,Show HN: HackerNewsJobs â€“ â€œAsk HN: Who is hiring?â€ â€“ organized,show_hn,stanislavb,01/01/2018 21:09,https://www.hackernewsjobs.com/,3,1
2295048,16048105,Show HN: RippleTick â€“ Real Time Ripple XRP Prices and Calculator,show_hn,RippleTick,01/01/2018 21:18,https://rippletick.com,7,3
2295055,16048227,Show HN: Read My Book Notes,show_hn,latishsehgal,01/01/2018 21:46,https://www.readmybooknotes.com/,61,15
2295069,16048365,Show HN: Bitcoin Arbitrage â€“ Kraken vs. GDAX,show_hn,BigBalli,01/01/2018 22:21,http://giacomoballi.com/crypto.html,11,6
2295076,16048406,Show HN: Read and pray from the Bible everyday,show_hn,leighmcculloch,01/01/2018 22:32,https://readprayrepeat.com,2,0
2295083,16048555,Show HN: Detect short-term trends in binance and bittrex crypto-exchanges,show_hn,zerostar07,01/01/2018 23:06,http://coinzaa.com/tools/binex,6,0
2295125,16049026,Show HN: A game my 12-year-old daughter wrote,show_hn,david927,02/01/2018 00:57,http://www.mind-circus.org,341,98
2295182,16049746,Show HN: Real Time â€œUV Indexâ€ REST API for Apps/bots Developers,show_hn,aershov24,02/01/2018 03:55,https://quickpages.co/p/uvindexapi,1,0
2295280,16050881,Show HN: Scalable Python Eventhub Client,show_hn,thepythiccoder1,02/01/2018 09:30,https://github.com/Azure/azure-event-hubs-python,1,0
2295301,16051017,Show HN: Cppbase â€“ A template for a simple CMake-based C++ project,show_hn,kartikkumar,02/01/2018 10:15,https://github.com/kartikkumar/cppbase,3,3
2295333,16051159,Show HN: Principles of container-based application design,show_hn,bibryam,02/01/2018 10:53,https://www.redhat.com/en/resources/cloud-native-container-design-whitepaper,3,1
2295374,16051411,Show HN: Athena â€“ A community-curated repository of great learning resources,show_hn,juhaszhenderson,02/01/2018 12:08,https://www.producthunt.com/posts/athena-48913abd-070d-48f9-8243-5a5822adb845,38,9
2705254,20162983,Show HN: Enterprise League - Free B2B Platform for SME,show_hn,enterpriselg,12/06/2019 09:19,,2,4
2705264,20163047,Show HN: Assets Generator (Generate Icons and Images for Mobile Apps),show_hn,varuntrivedi,12/06/2019 09:36,https://iconscout.com/asset-generator,1,0
2705372,20163732,Show HN: WebFPGA â€“ Rapid FPGA Development for Beginners,show_hn,ryanmjacobs,12/06/2019 12:15,https://www.kickstarter.com/projects/ryanmjacobs/webfpga-rapid-fpga-development-system?ref=6mzdza,8,2
2705380,20163862,Show HN: Slack Notifications for BitBucket and Gitlab,show_hn,michal_a,12/06/2019 12:34,https://code-dog.app,2,0
2705381,20163874,Show HN: Help me propose to my girlfriend,show_hn,helpmepropose,12/06/2019 12:36,https://helpmepropose.live,7,1
2705414,20164096,Show HN: Poli â€“ An easy-to-use SQL reporting application built for SQL lovers,show_hn,yuegui,12/06/2019 13:03,https://github.com/shzlw/poli,14,4
2705490,20164796,Show HN: Experimenting WASM: Flipping Images with Rust and JavaScript,show_hn,caraujorenan,12/06/2019 14:11,http://wasmrotate.surge.sh/,1,0
2705493,20164822,Show HN: Lannister â€“ open-source wealth manager app,show_hn,andresousa,12/06/2019 14:13,https://lannister.capital,102,58
2705514,20165066,"Show HN: A globally distributed, cross-region/cloud DB in 25 regions in 40s",show_hn,ctesh,12/06/2019 14:34,https://www.macrometa.co/blog/hello-globally-distributed-world-0,17,7
2705519,20165148,Show HN: Status-checks â€“ Integrate with GitHub status checks with just functions,show_hn,boyneyy123,12/06/2019 14:43,https://status-checks.netlify.com/,1,0
2705522,20165176,Show HN: Spellout â€“ Simple expressions (set) evaluation microservice,show_hn,lucasepe,12/06/2019 14:46,https://hub.docker.com/r/lucasepe/spellout,1,0
2705539,20165321,Show HN: Various README templates and tips on writing high-quality documentation,show_hn,race2infinity,12/06/2019 15:02,https://github.com/kylelobo/The-Documentation-Compendium,23,0
2705549,20165399,Show HN: Find the best performing Mac/Macbook/iMac for your budget,show_hn,sahin-boydas,12/06/2019 15:11,https://www.producthunt.com/posts/macbook-prices-by-performance,2,3
2294637,16043825,Ask HN: Any domain name registrars that don't require JavaScript?,ask_hn,glockenspielen,01/01/2018 00:16,,1,2
2294644,16043968,Ask HN: How would you improve Facebooks Event feature?,ask_hn,philippnagel,01/01/2018 00:55,,1,0
2294647,16043990,Ask HN: What technical due diligence do you perform before M&A?,ask_hn,crdb,01/01/2018 01:01,,6,0
2294655,16044109,Ask HN: What do you want to learn in 2018?,ask_hn,tmaly,01/01/2018 01:32,,9,5
2294663,16044200,Ask HN: Is there room for a non-profit computer science degree provider?,ask_hn,trcollinson,01/01/2018 01:56,,39,30
2294664,16044201,Ask HN: Version control solutions for 3D cad files,ask_hn,matt_the_bass,01/01/2018 01:56,,1,1
2294669,16044244,Ask HN: Do you remember your last year resolution?,ask_hn,ramshanker,01/01/2018 02:11,,5,0
2294670,16044255,Ask HN: 2018 resolutions?,ask_hn,justswim,01/01/2018 02:14,,176,249
2294675,16044311,Ask HN: What new podcasts and books are you planning to listen or read in 2018?,ask_hn,perseusprime11,01/01/2018 02:33,,11,2
2294682,16044435,Ask HN: Should I market my consulting work as my name or a brand/business name?,ask_hn,notdan,01/01/2018 03:04,,1,2
2294693,16044667,Ask HN: What did you succeed at in 2017?,ask_hn,putnam,01/01/2018 04:17,,2,1
2294695,16044674,Ask HN: What was the ugliest trend in software development in 2017?,ask_hn,putnam,01/01/2018 04:19,,5,0
2294698,16044727,Ask HN: Any recommendations for an interactive web demo framework?,ask_hn,hatsunearu,01/01/2018 04:37,,4,2
2294701,16044761,Ask HN: Any resources on deploying apps on IOTA?,ask_hn,febin,01/01/2018 04:49,,2,0
2294711,16044948,Ask HN: What are your tech-related New Year's resolutions?,ask_hn,anonu,01/01/2018 06:12,,10,10
2294729,16045168,Ask HN: Is attention span limited?,ask_hn,elkali,01/01/2018 07:48,,1,1
2294730,16045186,Ask HN: Is it possible to change the employer before joining in Berlin?,ask_hn,rejectiefied,01/01/2018 07:57,,2,0
2294733,16045222,Ask HN: How can I learn to cook for myself without making decisions?,ask_hn,awaythrowaway,01/01/2018 08:14,,2,6
2294753,16045458,Ask HN: Can someone explain proof of stake using an analogy?,ask_hn,febin,01/01/2018 09:43,,1,1
2294759,16045557,Ask HN: What lessons did 2017 teach you?,ask_hn,gcatalfamo,01/01/2018 10:24,,1,1
2294760,16045562,Ask HN: 2017 resolutions? what did you really accomplish?,ask_hn,maremmano,01/01/2018 10:25,,1,0
2294771,16045654,Ask HN: Which cryptocurrencies are you invested in? (Jan 2018),ask_hn,tomerbd,01/01/2018 11:09,,6,1
2708003,20189198,Ask HN: Examples for badly designed (web) APIs,ask_hn,tonyjstark,15/06/2019 09:50,,2,2
2708036,20189537,Ask HN: Why Facebook is the only company that creates their own cryptocurrency?,ask_hn,Biba89,15/06/2019 11:44,,5,11
2708050,20189664,Ask HN: What can I do to accelerate scientific research?,ask_hn,mariushn,15/06/2019 12:17,,138,161
2708055,20189680,"Ask HN: How do you improve something, anything?",ask_hn,julienreszka,15/06/2019 12:23,,2,3
2708065,20189781,Ask HN: How do I get a technology I created from my old company?,ask_hn,KennyFromIT,15/06/2019 12:50,,2,3
2708164,20190646,Ask HN: How do you document architecture and design proposals?,ask_hn,abatilo,15/06/2019 16:17,,3,1
2708204,20191005,Ask HN: â€œContact us for pricingâ€ nonsense,ask_hn,gesman,15/06/2019 17:22,,63,55
2708235,20191322,Ask HN: Do I belong here if I'm not CS degree?,ask_hn,HNLurker2,15/06/2019 18:22,,1,0
2708243,20191413,Ask HN: Should I start a startup in Australia?,ask_hn,aust_askin,15/06/2019 18:42,,1,1
2708307,20192012,Ask HN: Learn Arabic?,ask_hn,mlevental,15/06/2019 20:41,,1,2
2708310,20192027,Ask HN: Do you use anything for automated code review?,ask_hn,taylorwc,15/06/2019 20:43,,4,5
2708393,20193395,Ask HN: How to differentiate a work email id from a personal email id?,ask_hn,titanprashant,16/06/2019 02:02,,2,5
2708429,20193932,"Ask HN: While developing, do you run all the dependent services on your machine?",ask_hn,akkishore,16/06/2019 05:01,,5,4
2708477,20194439,Ask HN: Does anybody else uses only laptop as a main screen?,ask_hn,ran1212,16/06/2019 08:14,,14,19
2708506,20194744,Ask HN: Best way to get a list of all public email providers,ask_hn,titanprashant,16/06/2019 09:53,,1,0
2708523,20194863,Ask HN: Do you have a side project to sell? Post it here,ask_hn,ds,16/06/2019 10:41,,1,1
2708568,20195247,Ask HN: Good Articles on UX Design?,ask_hn,dvaloper,16/06/2019 13:02,,3,0
2708571,20195262,Ask HN: What tools to grab slices of production?,ask_hn,was_boring,16/06/2019 13:08,,6,3
2708572,20195263,Ask HN: What's your product's log volume?,ask_hn,tjholowaychuk,16/06/2019 13:08,,1,0
2708615,20195519,Ask HN: Platforms for subscription payment processing non-US,ask_hn,thecodeboy,16/06/2019 14:12,,1,0
2708666,20195991,Ask HN: Encryption and 5TB+ Backups,ask_hn,mmahut,16/06/2019 15:39,,2,3
2294635,16043786,Top Hacker News Books in 2017,story,0x54MUR41,01/01/2018 00:06,https://hackernewsbooks.com/year/2017,1,0
2294636,16043817,Beijing enjoys best winter air quality in five years,story,gpetukhov,01/01/2018 00:15,http://www.scmp.com/news/china/policies-politics/article/2126104/beijing-enjoys-best-winter-air-quality-five-years#comments,2,0
2294638,16043845,"Controversial Therapy Has Led to Death Threats, Harassment and Pseudoscience",story,cpncrunch,01/01/2018 00:23,https://www.buzzfeed.com/tomchivers/inside-the-controversial-therapy-for-chronic-fatigue?utm_term=.hhvJ82eqm#.gx0OxV1RL,2,0
2294639,16043851,Ruby 3x3 â€“ Ruby 3 Will Be 3 Times Faster â€“ What's News?,story,geraldbauer,01/01/2018 00:25,https://planetruby.github.io/advent2017/ruby3x3,2,0
2294640,16043858,Breaking the Glass Level Cap,story,CodeLikeAGirl,01/01/2018 00:26,https://code.likeagirl.io/breaking-the-glass-level-cap-20970dd06904,1,0
2294641,16043860,Hundreds of Pterosaur Eggs Found in Record-Breaking Fossil Haul,story,caio1982,01/01/2018 00:26,https://news.nationalgeographic.com/2017/11/largest-pterosaurs-eggs-discovered-embryos-fossils-paleontology-science/,24,2
2294642,16043889,Shop without stop with new supermarket trolley (1996),story,marcopolis,01/01/2018 00:34,http://www.independent.co.uk/news/shop-without-stop-with-new-supermarket-trolley-1306941.html,2,0
2294643,16043891,Simplecoin site is now iota teaching tool,story,andrewfromx,01/01/2018 00:34,https://simplecoin.life/,8,0
2294645,16043972,The Mysterious Case of the Linux Page Table Isolation Patches,story,_wmd,01/01/2018 00:55,http://pythonsweetness.tumblr.com/post/169166980422/the-mysterious-case-of-the-linux-page-table,4,0
2294646,16043981,Terminal: How the airport came to embody our national psychosis,story,jseliger,01/01/2018 00:59,http://www.slate.com/articles/business/cover_story/2017/09/how_airports_became_temples_of_our_national_fear_fueled_psychosis.html,97,73
2294648,16044004,ISP protester's problem solved by police called to remove him from store,story,tankenmate,01/01/2018 01:06,http://www.smh.com.au/business/consumer-affairs/police-called-to-remove-man-from-telstra-store-instead-solve-his-internet-crisis-20171231-h0btca.html,64,27
2294650,16044013,"Cixl â€“ a minimal, decently typed scripting language",story,sifoo,01/01/2018 01:08,https://github.com/basic-gongfu/cixl,1,0
2294651,16044056,2min Demo of How a Decentralized Twitter Could Work with Encryption [video],story,marknadal,01/01/2018 01:19,https://www.youtube.com/watch?v=52Z72bDCtMU,1,0
2294652,16044063,"Iran Moves to Block Social Media Apps, Mobile Networks as Protests Spread",story,ourmandave,01/01/2018 01:22,https://gizmodo.com/iran-moves-to-block-social-media-apps-mobile-networks-1821680686,7,0
2294653,16044085,When volcanic ash stopped a Jumbo at 37000 feet (2010),story,andrewshadura,01/01/2018 01:26,http://news.bbc.co.uk/2/hi/uk_news/magazine/8622099.stm,78,34
2294656,16044124,The complexity of obtaining blood for people with the rarest blood types (2014),story,daegloe,01/01/2018 01:38,https://www.theatlantic.com/health/archive/2014/10/the-most-precious-blood-on-earth/381911/?single_page=true,41,3
2294657,16044133,Discord community chatroom,story,fileply,01/01/2018 01:39,,1,0
2294658,16044147,Judging a photoâ€™s quality using Machine Learning techniques,story,mongodude,01/01/2018 01:43,http://blog.paralleldots.com/featured/understanding-visual-aesthetics-a-machine-learning-approach/,1,0
2294660,16044173,PLIRUS Job Board,story,dev2point0,01/01/2018 01:49,http://plir.us/,1,0
2294661,16044176,Happy New Year HN,story,alva,01/01/2018 01:49,,3,0
